model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/Qwen/Qwen3-8B,m2_001,0.5,50,16,50,0,0.32,0.542,0.6947,0.7986,0.8687,0.9154,0.9461,0.9662,0.9791,0.9872,0.9923,0.9955,0.9974,0.9985,0.9992,0.9996,0.9998,0.9999,0.9999,1.0
tinker/Qwen/Qwen3-8B,m2_002,0.5,50,32,50,0,0.64,0.8751,0.9584,0.9867,0.996,0.9988,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-8B,m2_003,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/Qwen/Qwen3-8B,m2_004,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-8B,m2_005,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-8B,m2_006,0.5,50,23,50,0,0.46,0.7135,0.8508,0.9238,0.9619,0.9814,0.9911,0.9959,0.9981,0.9992,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-8B,m2_007,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-8B,m2_008,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-8B,m2_009,0.5,50,9,50,0,0.18,0.3306,0.4561,0.5603,0.6463,0.717,0.7749,0.822,0.8602,0.8909,0.9154,0.9349,0.9503,0.9624,0.9718,0.9791,0.9846,0.9888,0.992,0.9943
tinker/Qwen/Qwen3-8B,m2_010,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
