model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/Qwen/Qwen3-32B,m2_026,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_027,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/Qwen/Qwen3-32B,m2_028,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/Qwen/Qwen3-32B,m2_029,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_030,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_031,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/Qwen/Qwen3-32B,m2_032,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_033,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_034,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_035,0.5,50,14,50,0,0.28,0.4857,0.6357,0.7442,0.8221,0.8774,0.9164,0.9436,0.9624,0.9753,0.9839,0.9897,0.9935,0.996,0.9975,0.9985,0.9991,0.9995,0.9997,0.9998
tinker/Qwen/Qwen3-32B,m2_036,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/Qwen/Qwen3-32B,m2_037,0.5,50,48,50,0,0.96,0.9992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
